City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
76,Port Alfred,ZA,-33.59,26.89,79.34,64,96,16.93,overcast clouds
77,Cherskiy,RU,68.75,161.30,-4.81,100,84,2.98,broken clouds
78,The Valley,AI,18.22,-63.06,81.1,83,100,17.85,overcast clouds
79,Bambous Virieux,MU,-20.34,57.76,81.21,61,40,14.97,scattered clouds
80,Arlit,NE,18.74,7.39,84.34,12,0,2.82,clear sky
81,Mount Gambier,AU,-37.83,140.77,59.23,81,51,4.0,broken clouds
82,Muros,ES,42.78,-9.06,63.09,80,98,23.47,overcast clouds
83,Namibe,AO,-15.20,12.15,79.43,65,0,16.11,clear sky
84,Mayo,US,38.89,-76.51,68.13,93,75,4.61,broken clouds
85,Ritchie,ZA,-29.04,24.60,72.61,41,100,15.46,overcast clouds
86,Mont-De-Marsan,FR,44.00,-0.67,69.93,62,3,4.61,clear sky
87,Avarua,CK,-21.21,-159.78,71.65,83,75,4.61,broken clouds
88,Bethel,US,41.37,-73.41,67.5,86,47,1.99,scattered clouds
89,Port Macquarie,AU,-31.43,152.92,62.49,88,100,9.22,overcast clouds
90,Amambai,BR,-23.10,-55.23,64.53,69,2,6.6,clear sky
91,Minas,UY,-34.38,-55.24,60.08,76,12,13.78,few clouds
92,Vila Franca Do Campo,PT,37.72,-25.43,66.61,75,100,14.14,overcast clouds
93,Chifeng,CN,42.27,118.96,39.25,29,0,1.23,clear sky
94,Puerto Maldonado,PE,-12.60,-69.18,67.69,72,13,0.65,few clouds
95,Hermanus,ZA,-34.42,19.23,69.8,67,39,20.24,scattered clouds
96,Oistins,BB,13.07,-59.53,80.69,89,40,14.97,scattered clouds
97,Hovd,MN,48.01,91.64,35.8,54,96,2.3,overcast clouds
98,Marsh Harbour,BS,26.54,-77.06,79.56,70,2,21.77,clear sky
99,Husavik,IS,66.04,-17.34,39.87,89,89,11.77,overcast clouds
100,Linxia,CN,35.60,103.21,48.54,61,84,2.06,broken clouds
101,Santa Luzia,BR,-19.77,-43.85,67.1,73,0,10.36,clear sky
102,Vila Do Maio,CV,15.13,-23.22,81.39,66,12,11.9,few clouds
103,Tocopilla,CL,-22.09,-70.20,63.23,69,17,5.53,few clouds
104,Guerrero Negro,MX,27.98,-114.06,62.35,82,94,9.55,overcast clouds
105,Wagar,SD,16.15,36.20,97.21,23,5,8.86,clear sky
106,Qaanaaq,GL,77.48,-69.36,-1.48,87,100,10.29,overcast clouds
107,Novobirilyussy,RU,56.95,90.67,26.94,81,100,7.31,overcast clouds
108,Kruisfontein,ZA,-34.00,24.73,78.42,48,100,17.49,overcast clouds
109,Ganzhou,CN,28.82,115.43,65.3,60,0,4.97,clear sky
110,Kaitangata,NZ,-46.28,169.85,54.16,68,91,9.22,overcast clouds
111,Kupino,RU,54.37,77.30,29.89,95,100,5.53,overcast clouds
112,New Norfolk,AU,-42.78,147.06,58.5,98,71,1.07,broken clouds
113,Leninsk,RU,48.71,45.20,44.29,47,83,4.72,broken clouds
114,Alice Springs,AU,-23.70,133.88,81.95,11,76,5.75,broken clouds
115,Suhbaatar,MN,50.23,106.21,28.67,60,28,3.2,scattered clouds
116,Belawan,ID,3.78,98.68,82.69,82,100,3.6,overcast clouds
117,Ximei,CN,24.96,118.38,67.6,86,98,2.53,overcast clouds
118,Lebu,CL,-37.62,-73.65,51.08,84,54,9.44,broken clouds
119,Srednekolymsk,RU,67.45,153.68,-18.47,100,50,1.7,scattered clouds
120,Ust-Nera,RU,64.57,143.20,-19.07,98,99,2.71,overcast clouds
121,Tabas,IR,33.60,56.92,77.22,16,0,2.3,clear sky
122,Rathdrum,US,47.81,-116.89,33.71,64,100,8.72,snow
123,Tiksi,RU,71.69,128.87,1.06,92,100,22.17,overcast clouds
124,Cidreira,BR,-30.18,-50.21,64.02,76,13,14.07,few clouds
125,Nishihara,JP,26.18,127.76,74.48,78,75,10.36,broken clouds
126,Mastic Beach,US,40.77,-72.85,68.04,95,62,3.0,broken clouds
127,Manokwari,ID,-0.87,134.08,81.46,79,73,5.7,broken clouds
128,Gat,IL,31.61,34.76,77.77,32,1,13.2,clear sky
129,Margate,GB,51.38,1.39,59.31,89,100,8.01,moderate rain
130,Zholymbet,KZ,51.74,71.71,30.24,68,100,7.23,overcast clouds
131,Kargopol,RU,61.51,38.95,37.15,93,100,10.63,overcast clouds
132,Korablino,RU,53.92,40.01,34.84,95,100,9.8,light snow
133,Longyearbyen,SJ,78.22,15.64,30.04,93,75,6.91,broken clouds
134,Poum,NC,-20.23,164.02,78.55,80,30,10.22,scattered clouds
135,Jamestown,US,42.10,-79.24,53.02,71,0,7.0,clear sky
136,Pyay,MM,18.82,95.22,78.57,69,0,3.0,clear sky
137,Hasaki,JP,35.73,140.83,56.21,83,100,12.95,overcast clouds
138,Saint-Donat-De-Montcalm,CA,46.32,-74.22,46.83,79,22,12.64,few clouds
139,Mar Del Plata,AR,-38.00,-57.56,63.95,82,16,11.99,few clouds
140,Zhuji,CN,29.72,120.24,61.32,79,1,4.41,clear sky
141,Marzuq,YE,14.40,46.47,84.51,21,0,7.07,clear sky
142,Buala,SB,-8.14,159.59,79.72,82,81,5.44,broken clouds
143,Susanino,RU,58.15,41.59,33.75,91,100,6.49,overcast clouds
144,Staraya Mayna,RU,54.60,48.95,36.63,73,100,10.83,overcast clouds
145,Katsuura,JP,35.13,140.30,61.47,86,98,8.81,overcast clouds
146,Castro,BR,-24.79,-50.01,52.88,77,90,5.39,overcast clouds
147,San Juan,AR,-31.54,-68.54,73.51,30,89,11.77,overcast clouds
148,Komsomolskiy,UZ,40.43,71.72,56.12,76,84,11.5,mist
149,Kirakira,SB,-10.45,161.92,79.79,82,70,3.78,broken clouds
150,Jardim,BR,-21.48,-56.14,71.33,48,3,6.15,clear sky
151,Morwell,AU,-38.23,146.40,61.39,95,65,1.83,broken clouds
152,Dickinson,US,29.46,-95.05,75.16,95,100,4.61,fog
153,Challapata,BO,-18.90,-66.77,44.28,52,0,2.28,clear sky
154,Tasiilaq,GL,65.61,-37.64,32.16,96,100,7.45,snow
155,Yinchuan,CN,38.47,106.27,49.23,25,44,6.53,scattered clouds
156,Kieta,PG,-6.22,155.63,79.39,83,93,2.86,light rain
157,Kailua,US,21.40,-157.74,78.49,80,90,5.01,overcast clouds
158,Soe,ID,-9.86,124.28,71.2,86,98,1.23,heavy intensity rain
159,Taltal,CL,-25.40,-70.48,59.18,80,33,1.05,scattered clouds
160,Huatulco,MX,15.84,-96.33,72.86,91,17,4.74,few clouds
161,Salinopolis,BR,-0.61,-47.36,78.3,85,81,8.12,broken clouds
162,East London,ZA,-33.02,27.91,76.96,67,100,20.76,overcast clouds
163,Hobyo,SO,5.35,48.53,83.75,61,19,11.07,few clouds
164,Juneau,US,58.30,-134.42,13.1,100,0,10.54,clear sky
165,Bahia Blanca,AR,-38.72,-62.27,70.12,39,90,16.4,overcast clouds
166,Lewistown,US,40.60,-77.57,63.81,51,0,14.97,clear sky
167,Luena,AO,-11.78,19.92,75.65,70,97,2.01,moderate rain
168,Sindor,RU,62.86,51.89,29.71,96,100,6.29,light snow
169,Lagoa,PT,39.05,-27.98,63.64,81,100,19.01,light rain
170,Tambacounda,SN,13.75,-13.76,92.44,22,42,1.97,scattered clouds
171,Rottenburg,DE,48.48,8.94,57.42,68,100,11.41,overcast clouds
172,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,29.39,67,9,24.94,clear sky
173,Galle,LK,6.04,80.22,81.36,72,56,3.18,broken clouds
174,Lompoc,US,34.64,-120.46,57.78,86,100,9.22,overcast clouds
175,Vao,NC,-22.67,167.48,74.86,84,93,20.36,overcast clouds
176,Pisco,PE,-13.70,-76.22,59.02,85,0,2.93,clear sky
177,Airai,TL,-8.93,125.41,63.59,91,100,1.99,moderate rain
178,Silivri,TR,41.08,28.23,60.91,62,83,19.13,broken clouds
179,Arraial Do Cabo,BR,-22.97,-42.03,71.46,78,75,6.91,broken clouds
180,Caravelas,BR,-17.71,-39.25,76.28,58,100,8.66,overcast clouds
181,Mecca,SA,21.43,39.83,92.01,30,0,8.93,clear sky
182,Grand Gaube,MU,-20.01,57.66,81.37,59,10,11.01,clear sky
