City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Port Macquarie,AU,62.49,overcast clouds,-31.43,152.92,Rydges Port Macquarie
90,Amambai,BR,64.53,clear sky,-23.1,-55.23,Keren Hotel
91,Minas,UY,60.08,few clouds,-34.38,-55.24,Hotel Minas
92,Vila Franca Do Campo,PT,66.61,overcast clouds,37.72,-25.43,Pestana Bahia Praia
94,Puerto Maldonado,PE,67.69,few clouds,-12.6,-69.18,Wasai Hotel
95,Hermanus,ZA,69.8,scattered clouds,-34.42,19.23,Misty Waves Boutique Hotel
100,Linxia,CN,48.54,broken clouds,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
101,Santa Luzia,BR,67.1,clear sky,-19.77,-43.85,Pousada Chao Earth
103,Tocopilla,CL,63.23,few clouds,-22.09,-70.2,Hotel Galvarino
104,Guerrero Negro,MX,62.35,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
109,Ganzhou,CN,65.3,clear sky,28.82,115.43,Zhanqian Grand Hotel
110,Kaitangata,NZ,54.16,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
112,New Norfolk,AU,58.5,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
113,Leninsk,RU,44.29,broken clouds,48.71,45.2,Turbaza Odisseya
117,Ximei,CN,67.6,overcast clouds,24.96,118.38,Nan'an Hotel
118,Lebu,CL,51.08,broken clouds,-37.62,-73.65,Hostal Las Lilas
124,Cidreira,BR,64.02,few clouds,-30.18,-50.21,Hotel Castelo
126,Mastic Beach,US,68.04,broken clouds,40.77,-72.85,Brushwood House by Smith Point Beach
129,Margate,GB,59.31,moderate rain,51.38,1.39,Premier Inn Margate hotel
135,Jamestown,US,53.02,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
137,Hasaki,JP,56.21,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
138,Saint-Donat-De-Montcalm,CA,46.83,few clouds,46.32,-74.22,Le Lincoln Marina Spa
139,Mar Del Plata,AR,63.95,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata
140,Zhuji,CN,61.32,clear sky,29.72,120.24,YaoJiang New Century Grand Hotel Zhuji
145,Katsuura,JP,61.47,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
